date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:10:09	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2013%20Jan%202022%2009:40:09%20GMT	http://panchtatva-dhimahi.com/robots.txt		(from )
15:10:09	62602/62602	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jan%202022%2009:40:09%20GMT	http://panchtatva-dhimahi.com/	C:/Users/Girish%20Sharma/Desktop/Panch%20website/Panch/panchtatva-dhimahi.com/index.html	(from )
15:10:13	1099/1099	---M--	200	added ('OK')	text/css	etag:%2244b-5984f72001680%22	http://panchtatva-dhimahi.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.4.1	C:/Users/Girish%20Sharma/Desktop/Panch%20website/Panch/panchtatva-dhimahi.com/wp-content/plugins/contact-form-7/includes/css/stylesa94e.css	(from http://panchtatva-dhimahi.com/)
15:10:13	6380/6380	---M--	200	added ('OK')	image/png	etag:%2218ec-595c3e4d6d880%22	http://panchtatva-dhimahi.com/wp-content/plugins/wa-sticky-button/assets/default.png	C:/Users/Girish%20Sharma/Desktop/Panch%20website/Panch/panchtatva-dhimahi.com/wp-content/plugins/wa-sticky-button/assets/default.png	(from http://panchtatva-dhimahi.com/)
15:10:13	55177/55177	---M--	200	added ('OK')	text/css	etag:%22d789-5984f725ba400%22	http://panchtatva-dhimahi.com/wp-content/plugins/revslider/rs-plugin/css/settings.css?ver=4.6.93	C:/Users/Girish%20Sharma/Desktop/Panch%20website/Panch/panchtatva-dhimahi.com/wp-content/plugins/revslider/rs-plugin/css/settings9cbc.css	(from http://panchtatva-dhimahi.com/)
15:10:15	2969/2969	---M--	200	added ('OK')	text/css	etag:%22b99-4ef8501291100%22	http://panchtatva-dhimahi.com/wp-content/plugins/wp-sticky-social/public/assets/css/public.css?ver=1.0.1	C:/Users/Girish%20Sharma/Desktop/Panch%20website/Panch/panchtatva-dhimahi.com/wp-content/plugins/wp-sticky-social/public/assets/css/publicf269.css	(from http://panchtatva-dhimahi.com/)
15:10:15	7382/7382	---MC-	200	added ('OK')	application/rss+xml	etag:%22f7909831b23682c0cc72474615ef94a3%22	http://panchtatva-dhimahi.com/comments/feed/	C:/Users/Girish%20Sharma/Desktop/Panch%20website/Panch/panchtatva-dhimahi.com/comments/feed/index.html	(from http://panchtatva-dhimahi.com/)
15:10:15	2355/2355	---M--	200	added ('OK')	text/css	etag:%22933-4ef8501291100%22	http://panchtatva-dhimahi.com/wp-content/plugins/wp-sticky-social/public/assets/foundation_icons_social/stylesheets/social_foundicons.css?ver=4.4.26	C:/Users/Girish%20Sharma/Desktop/Panch%20website/Panch/panchtatva-dhimahi.com/wp-content/plugins/wp-sticky-social/public/assets/foundation_icons_social/stylesheets/social_foundicons3efd.css	(from http://panchtatva-dhimahi.com/)
15:10:15	16/16	---M--	200	added ('OK')	text/css	etag:%2210-5984f7312bf00%22	http://panchtatva-dhimahi.com/wp-content/themes/betheme/style.css?ver=9.0	C:/Users/Girish%20Sharma/Desktop/Panch%20website/Panch/panchtatva-dhimahi.com/wp-content/themes/betheme/stylead72.css	(from http://panchtatva-dhimahi.com/)
15:10:15	751/751	---MC-	200	added ('OK')	application/rss+xml	etag:%22f7909831b23682c0cc72474615ef94a3%22	http://panchtatva-dhimahi.com/home/feed/	C:/Users/Girish%20Sharma/Desktop/Panch%20website/Panch/panchtatva-dhimahi.com/home/feed/index.html	(from http://panchtatva-dhimahi.com/)
15:10:15	7491/7491	---M--	200	added ('OK')	text/css	etag:%221d43-5984f7298ad00%22	http://panchtatva-dhimahi.com/wp-content/themes/betheme/css/base.css?ver=9.0	C:/Users/Girish%20Sharma/Desktop/Panch%20website/Panch/panchtatva-dhimahi.com/wp-content/themes/betheme/css/basead72.css	(from http://panchtatva-dhimahi.com/)
15:10:16	3754/3754	---M--	200	added ('OK')	text/css	etag:%22eaa-5984f7298ad00%22	http://panchtatva-dhimahi.com/wp-content/themes/betheme/css/buttons.css?ver=9.0	C:/Users/Girish%20Sharma/Desktop/Panch%20website/Panch/panchtatva-dhimahi.com/wp-content/themes/betheme/css/buttonsad72.css	(from http://panchtatva-dhimahi.com/)
